source,tag,division_code,division_name,section_code,section_name,cos,rank
regpat,A22C,10,Manufacture of food products,C,MANUFACTURING,0.5269402861595154,1
regpat,A23B,10,Manufacture of food products,C,MANUFACTURING,0.5890712738037109,1
regpat,A23B4,10,Manufacture of food products,C,MANUFACTURING,0.4435451030731201,1
regpat,A23B7,10,Manufacture of food products,C,MANUFACTURING,0.6101478338241577,1
regpat,A23C,10,Manufacture of food products,C,MANUFACTURING,0.4970710277557373,1
regpat,A23C19,10,Manufacture of food products,C,MANUFACTURING,0.35571038722991943,1
regpat,A23C9,10,Manufacture of food products,C,MANUFACTURING,0.4858112037181854,1
regpat,A23D7,10,Manufacture of food products,C,MANUFACTURING,0.36834943294525146,1
regpat,A23D9,10,Manufacture of food products,C,MANUFACTURING,0.3356160521507263,1
regpat,A23F,11,Manufacture of beverages,C,MANUFACTURING,0.5235602259635925,1
regpat,A23F,10,Manufacture of food products,C,MANUFACTURING,0.5128158330917358,2
regpat,A23F5,11,Manufacture of beverages,C,MANUFACTURING,0.4931122064590454,1
regpat,A23F5,11,Manufacture of beverages,C,MANUFACTURING,0.4931122064590454,2
regpat,A23G,10,Manufacture of food products,C,MANUFACTURING,0.5212541818618774,1
regpat,A23G1,10,Manufacture of food products,C,MANUFACTURING,0.4429874122142792,1
regpat,A23G3,10,Manufacture of food products,C,MANUFACTURING,0.465704083442688,1
regpat,A23G4,10,Manufacture of food products,C,MANUFACTURING,0.477440744638443,1
regpat,A23G4,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,MANUFACTURING,0.46509695053100586,2
regpat,A23G9,10,Manufacture of food products,C,MANUFACTURING,0.455855131149292,1
regpat,A23J,10,Manufacture of food products,C,MANUFACTURING,0.40674424171447754,1
regpat,A23J,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,MANUFACTURING,0.40633586049079895,2
regpat,A23J3,10,Manufacture of food products,C,MANUFACTURING,0.4928950071334839,1
regpat,A23J3/14,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,MANUFACTURING,0.4022151231765747,1
regpat,A23J3/14,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.3931756019592285,2
regpat,A23K,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.5564325451850891,1
regpat,A23K10,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.5487203598022461,1
regpat,A23K10/18,10,Manufacture of food products,C,MANUFACTURING,0.4518216848373413,1
regpat,A23K10/30,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.40692266821861267,1
regpat,A23K20,03,Fishing and aquaculture,A,"AGRICULTURE, FORESTRY AND FISHING",0.4209253489971161,1
regpat,A23K20,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.4190535843372345,2
regpat,A23K20/10,03,Fishing and aquaculture,A,"AGRICULTURE, FORESTRY AND FISHING",0.49120861291885376,1
regpat,A23K20/147,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.3794863820075989,1
regpat,A23K20/158,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.3576188087463379,1
regpat,A23K20/163,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.4259263575077057,1
regpat,A23K40,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.39687153697013855,1
regpat,A23K50,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.5248803496360779,1
regpat,A23K50/10,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.4178919196128845,1
regpat,A23K50/30,10,Manufacture of food products,C,MANUFACTURING,0.37667056918144226,1
regpat,A23K50/30,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.3777284622192383,2
regpat,A23K50/30,10,Manufacture of food products,C,MANUFACTURING,0.37667056918144226,3
regpat,A23K50/40,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.38454803824424744,1
regpat,A23K50/75,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.39804020524024963,1
regpat,A23K50/80,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.37393686175346375,1
regpat,A23L,10,Manufacture of food products,C,MANUFACTURING,0.6288946270942688,1
regpat,A23L13,10,Manufacture of food products,C,MANUFACTURING,0.5536476969718933,1
regpat,A23L19,10,Manufacture of food products,C,MANUFACTURING,0.6573029160499573,1
regpat,A23L2,11,Manufacture of beverages,C,MANUFACTURING,0.5198050141334534,1
regpat,A23L2/02,11,Manufacture of beverages,C,MANUFACTURING,0.5496035814285278,1
regpat,A23L2/52,11,Manufacture of beverages,C,MANUFACTURING,0.46596699953079224,1
regpat,A23L2/56,73,"Activities of advertising, market research and public relations",N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.23909538984298706,1
regpat,A23L2/60,11,Manufacture of beverages,C,MANUFACTURING,0.37145963311195374,1
regpat,A23L27,10,Manufacture of food products,C,MANUFACTURING,0.46378275752067566,1
regpat,A23L29,10,Manufacture of food products,C,MANUFACTURING,0.47742703557014465,1
regpat,A23L29/212,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,MANUFACTURING,0.3515344262123108,1
regpat,A23L29/30,10,Manufacture of food products,C,MANUFACTURING,0.47539258003234863,1
regpat,A23L29/30,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.4622122049331665,2
regpat,A23L3,10,Manufacture of food products,C,MANUFACTURING,0.5386424660682678,1
regpat,A23L33,10,Manufacture of food products,C,MANUFACTURING,0.44643691182136536,1
regpat,A23L33/10,10,Manufacture of food products,C,MANUFACTURING,0.4161941409111023,1
regpat,A23L33/105,10,Manufacture of food products,C,MANUFACTURING,0.3551490604877472,1
regpat,A23L33/115,10,Manufacture of food products,C,MANUFACTURING,0.3362533450126648,1
regpat,A23L33/12,10,Manufacture of food products,C,MANUFACTURING,0.40570929646492004,1
regpat,A23L33/125,10,Manufacture of food products,C,MANUFACTURING,0.3065881133079529,1
regpat,A23L33/125,10,Manufacture of food products,C,MANUFACTURING,0.3065881133079529,2
regpat,A23L33/125,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.30642473697662354,3
regpat,A23L33/135,10,Manufacture of food products,C,MANUFACTURING,0.37845757603645325,1
regpat,A23L33/135,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,MANUFACTURING,0.3760848641395569,2
regpat,A23L33/15,10,Manufacture of food products,C,MANUFACTURING,0.35323554277420044,1
regpat,A23L33/16,10,Manufacture of food products,C,MANUFACTURING,0.43156400322914124,1
regpat,A23L33/17,10,Manufacture of food products,C,MANUFACTURING,0.3126453459262848,1
regpat,A23L33/17,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.34571996331214905,2
regpat,A23L33/17,10,Manufacture of food products,C,MANUFACTURING,0.3126453459262848,3
regpat,A23L33/17,22,Manufacture of rubber and plastic products,C,MANUFACTURING,0.3063855767250061,4
regpat,A23L33/175,03,Fishing and aquaculture,A,"AGRICULTURE, FORESTRY AND FISHING",0.35566529631614685,1
regpat,A23L33/18,10,Manufacture of food products,C,MANUFACTURING,0.3556938171386719,1
regpat,A23L33/185,10,Manufacture of food products,C,MANUFACTURING,0.2993575632572174,1
regpat,A23L33/185,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,MANUFACTURING,0.29321613907814026,2
regpat,A23L33/19,10,Manufacture of food products,C,MANUFACTURING,0.33019086718559265,1
regpat,A23L33/19,20,Manufacture of chemicals and chemical products,C,MANUFACTURING,0.348320871591568,2
regpat,A23L33/19,10,Manufacture of food products,C,MANUFACTURING,0.33019086718559265,3
regpat,A23L33/21,03,Fishing and aquaculture,A,"AGRICULTURE, FORESTRY AND FISHING",0.3288392722606659,1
regpat,A23L33/30,10,Manufacture of food products,C,MANUFACTURING,0.38420066237449646,1
regpat,A23L33/40,10,Manufacture of food products,C,MANUFACTURING,0.34127277135849,1
regpat,A23L5,10,Manufacture of food products,C,MANUFACTURING,0.3640543818473816,1
regpat,A23L5,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,MANUFACTURING,0.36935821175575256,2
regpat,A23L5,10,Manufacture of food products,C,MANUFACTURING,0.3640543818473816,3
regpat,A23L5,11,Manufacture of beverages,C,MANUFACTURING,0.3541560173034668,4
regpat,A23L7,10,Manufacture of food products,C,MANUFACTURING,0.4914156198501587,1
regpat,A23N,10,Manufacture of food products,C,MANUFACTURING,0.5661293268203735,1
regpat,A23P,10,Manufacture of food products,C,MANUFACTURING,0.5998156666755676,1
regpat,A23P10/30,10,Manufacture of food products,C,MANUFACTURING,0.4205445647239685,1
regpat,A23P10/30,10,Manufacture of food products,C,MANUFACTURING,0.4205445647239685,2
regpat,A23V,10,Manufacture of food products,C,MANUFACTURING,0.5614734888076782,1
regpat,A23V2002,10,Manufacture of food products,C,MANUFACTURING,0.5515669584274292,1
regpat,A23V2200,10,Manufacture of food products,C,MANUFACTURING,0.5685064792633057,1
regpat,A23V2250,10,Manufacture of food products,C,MANUFACTURING,0.5194473266601562,1
regpat,A23V2250,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.5050217509269714,2
regpat,A23V2400,01,"Crop and animal production, hunting and related service activities",A,"AGRICULTURE, FORESTRY AND FISHING",0.5190545320510864,1
regpat,A24B,12,Manufacture of tobacco products,C,MANUFACTURING,0.7303643822669983,1
regpat,A24B15,12,Manufacture of tobacco products,C,MANUFACTURING,0.662611186504364,1
regpat,A24B15/16,12,Manufacture of tobacco products,C,MANUFACTURING,0.6067214608192444,1
regpat,A24B15/167,12,Manufacture of tobacco products,C,MANUFACTURING,0.547230064868927,1
regpat,A24C,12,Manufacture of tobacco products,C,MANUFACTURING,0.8056345582008362,1
regpat,A24C5,12,Manufacture of tobacco products,C,MANUFACTURING,0.6771939992904663,1
regpat,A24D1,12,Manufacture of tobacco products,C,MANUFACTURING,0.7476197481155396,1
regpat,A24D1/02,12,Manufacture of tobacco products,C,MANUFACTURING,0.5846577882766724,1
regpat,A24D1/20,12,Manufacture of tobacco products,C,MANUFACTURING,0.6210300326347351,1
regpat,A24D3,12,Manufacture of tobacco products,C,MANUFACTURING,0.7129413485527039,1
regpat,A24F,12,Manufacture of tobacco products,C,MANUFACTURING,0.5702690482139587,1
regpat,A24F40,12,Manufacture of tobacco products,C,MANUFACTURING,0.4932273328304291,1
regpat,A24F40/10,12,Manufacture of tobacco products,C,MANUFACTURING,0.5613147020339966,1
regpat,A24F40/20,12,Manufacture of tobacco products,C,MANUFACTURING,0.3808591961860657,1
regpat,A24F40/30,12,Manufacture of tobacco products,C,MANUFACTURING,0.31910383701324463,1
regpat,A24F40/40,12,Manufacture of tobacco products,C,MANUFACTURING,0.3697435259819031,1
regpat,A24F40/42,12,Manufacture of tobacco products,C,MANUFACTURING,0.39507487416267395,1
regpat,A24F40/44,12,Manufacture of tobacco products,C,MANUFACTURING,0.4833293855190277,1
regpat,A24F40/46,12,Manufacture of tobacco products,C,MANUFACTURING,0.4779544174671173,1
regpat,A24F40/465,12,Manufacture of tobacco products,C,MANUFACTURING,0.3662433624267578,1
regpat,A24F40/485,26,"Manufacture of computer, electronic and optical products",C,MANUFACTURING,0.3458670973777771,1
regpat,A24F40/485,12,Manufacture of tobacco products,C,MANUFACTURING,0.3451429009437561,2
regpat,A24F40/50,26,"Manufacture of computer, electronic and optical products",C,MANUFACTURING,0.4408632814884186,1
regpat,A24F40/51,12,Manufacture of tobacco products,C,MANUFACTURING,0.337153822183609,1
