source,tag,division_code,division_name,section_code,section_name,cos,rank
crunchbase,Google Glass,26,"Manufacture of computer, electronic and optical products",C,MANUFACTURING,0.3799993693828583,1
crunchbase,Government,84,Public administration and defence; compulsory social security,P,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,0.5009884834289551,1
crunchbase,GovTech,84,Public administration and defence; compulsory social security,P,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,0.45806828141212463,1
crunchbase,GovTech,84,Public administration and defence; compulsory social security,P,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,0.45806828141212463,2
crunchbase,GPS,62,"Computer programming, consultancy and related activities",K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.34900611639022827,1
crunchbase,GPS,62,"Computer programming, consultancy and related activities",K,"TELECOMMUNICATION, COMPUTER PROGRAMMING, CONSULTING, COMPUTING INFRASTRUCTURE AND OTHER INFORMATION SERVICE ACTIVITIES",0.34900611639022827,2
crunchbase,GPS,51,Air transport,H,TRANSPORTATION AND STORAGE,0.34803852438926697,3
crunchbase,GPS,26,"Manufacture of computer, electronic and optical products",C,MANUFACTURING,0.3433834910392761,4
crunchbase,GPU,26,"Manufacture of computer, electronic and optical products",C,MANUFACTURING,0.3356664180755615,1
crunchbase,GPU,26,"Manufacture of computer, electronic and optical products",C,MANUFACTURING,0.3356664180755615,2
crunchbase,Graphic Design,73,"Activities of advertising, market research and public relations",N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0.5369293093681335,1
crunchbase,Green Building,41,Construction of residential and non-residential buildings,F,CONSTRUCTION,0.47538673877716064,1
crunchbase,Green Consumer Goods,22,Manufacture of rubber and plastic products,C,MANUFACTURING,0.46332961320877075,1
crunchbase,GreenTech,42,Civil engineering,F,CONSTRUCTION,0.3311815559864044,1
crunchbase,GreenTech,35,"Electricity, gas, steam and air conditioning supply",D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",0.32567906379699707,2
crunchbase,GreenTech,27,Manufacture of electrical equipment,C,MANUFACTURING,0.32434242963790894,3
